user_id,total_sessions,binge_sessions,binge_rate,avg_episodes_per_session
user_02416,21,6,0.2857142857142857,1.2857142857142858
user_09616,16,5,0.3125,1.5625
user_02935,18,5,0.2777777777777778,1.2777777777777777
user_05421,15,5,0.3333333333333333,1.3333333333333333
user_08051,11,5,0.45454545454545453,1.4545454545454546
user_01668,12,5,0.4166666666666667,1.4166666666666667
user_05192,15,5,0.3333333333333333,1.3333333333333333
user_01099,16,5,0.3125,1.3125
user_00979,15,5,0.3333333333333333,1.3333333333333333
user_06290,13,5,0.38461538461538464,1.3846153846153846
user_06705,16,5,0.3125,1.3125
user_04558,12,5,0.4166666666666667,1.4166666666666667
user_04615,12,5,0.4166666666666667,1.4166666666666667
user_04675,19,5,0.2631578947368421,1.263157894736842
user_06554,22,5,0.22727272727272727,1.2727272727272727
user_00590,18,5,0.2777777777777778,1.2777777777777777
user_05934,15,4,0.26666666666666666,1.2666666666666666
user_05976,8,4,0.5,1.5
user_05560,20,4,0.2,1.2
user_08192,11,4,0.36363636363636365,1.3636363636363635
user_03091,8,4,0.5,1.5
user_02215,11,4,0.36363636363636365,1.3636363636363635
user_03094,14,4,0.2857142857142857,1.3571428571428572
user_03308,16,4,0.25,1.25
user_07438,13,4,0.3076923076923077,1.3076923076923077
user_08651,11,4,0.36363636363636365,1.3636363636363635
user_02512,21,4,0.19047619047619047,1.1904761904761905
user_02746,11,4,0.36363636363636365,1.3636363636363635
user_08305,10,4,0.4,1.4
user_07465,9,4,0.4444444444444444,1.4444444444444444
user_08339,11,4,0.36363636363636365,1.3636363636363635
user_02896,15,4,0.26666666666666666,1.2666666666666666
user_02318,11,4,0.36363636363636365,1.3636363636363635
user_00216,12,4,0.3333333333333333,1.3333333333333333
user_08303,16,4,0.25,1.25
user_07860,13,4,0.3076923076923077,1.3076923076923077
user_05613,16,4,0.25,1.25
user_05910,18,4,0.2222222222222222,1.2222222222222223
user_02898,12,4,0.3333333333333333,1.3333333333333333
user_05721,15,4,0.26666666666666666,1.2666666666666666
user_07841,6,4,0.6666666666666666,1.6666666666666667
user_02553,17,4,0.23529411764705882,1.2352941176470589
user_08119,9,4,0.4444444444444444,1.6666666666666667
